arg.1,Argentinos Juniors
arg.1,Belgrano de C?rdoba
arg.1,Boca Juniors
arg.1,Col?n de Santa Fe
arg.1,Estudiantes La Plata
arg.1,Gimnasia La Plata
arg.1,Lan?s
arg.1,Newell's Old Boys
arg.1,Racing Club
arg.1,River Plate
arg.1,Rosario Central
arg.1,San Lorenzo
arg.1,V?lez Sarsfield
arg.1,Arsenal de Sarand?
arg.1,Olimpo de Bah?a Blanca
arg.1,Quilmes
arg.1,Godoy Cruz de Mendoza
arg.1,Tigre
arg.1,Atletico Rafaela
arg.1,All Boys
aut.1,Rapid Vienna
aut.1,Austria Vienna
aut.1,SV Salzburg
aut.1,FC Wacker Tirol
aut.1,SK Sturm Graz
aut.1,SV Josko Ried
aut.1,FC Magna Wr. Neustadt
aut.1,FC Trenkwalder Admira
aut.1,Wolfsberger AC
aut.1,SV Grodig
bel.1,Anderlecht
bel.1,Standard Liege
bel.1,Club Brugge
bel.1,Racing Genk
bel.1,KSC Lokeren
bel.1,Cercle Brugge KSV
bel.1,KAA Gent
bel.1,KV Oostende
bel.1,RAEC Bergen Mons
bel.1,Royal Charleroi SC
bel.1,Lierse SK
bel.1,Zulte-Waregem
bel.1,KV Kortrijk
bel.1,KV Mechelen
bel.1,OH Leuven
bel.1,Waasland-Beveren
den.1,FC Midtjylland
den.1,Br?ndby
den.1,FC Copenhagen
den.1,Odense BK
den.1,Esbjerg
den.1,AaB
den.1,FC Nordsjaelland
den.1,Randers FC
den.1,Viborg FF
den.1,AGF Aarhus
den.1,Sonderjyske
den.1,FC Vestsjaelland
fra.1,Bordeaux
fra.1,Paris Saint-Germain 
fra.1,Nantes
fra.1,Lille
fra.1,Lyon
fra.1,Stade Rennes
fra.1,Guingamp
fra.1,Bastia
fra.1,AS Monaco
fra.1,Marseille
fra.1,St Etienne
fra.1,Toulouse
fra.1,Sochaux
fra.1,Lorient
fra.1,Montpellier
fra.1,Nice
fra.1,AC Ajaccio
fra.1,Stade de Reims
fra.1,Valenciennes
fra.1,Evian Thonon Gaillard
ger.1,Borussia Dortmund
ger.1,Eintracht Frankfurt
ger.1,SC Freiburg
ger.1,Hamburg SV
ger.1,Hertha Berlin
ger.1,Bayer Leverkusen
ger.1,Bayern Munich
ger.1,Schalke 04
ger.1,VfB Stuttgart
ger.1,Werder Bremen
ger.1,VfL Wolfsburg
ger.1,Borussia Monchengladbach
ger.1,Nurnberg
ger.1,Hannover 96
ger.1,Mainz
ger.1,TSV Eintracht Braunschweig
ger.1,FC Augsburg
ger.1,TSG Hoffenheim
ned.1,Ajax Amsterdam
ned.1,AZ Alkmaar
ned.1,NAC Breda
ned.1,Feyenoord Rotterdam
ned.1,FC Groningen
ned.1,Heerenveen
ned.1,NEC Nijmegen
ned.1,PSV Eindhoven
ned.1,Roda JC Kerkrade
ned.1,Twente Enschede
ned.1,FC Utrecht
ned.1,Vitesse Arnhem
ned.1,RKC Waalwijk
ned.1,PEC Zwolle
ned.1,ADO Den Haag
ned.1,Go Ahead Eagles
ned.1,SC Heracles Almelo
ned.1,Cambuur Leeuwarden
ita.1,AC Milan
ita.1,AS Roma
ita.1,Atalanta
ita.1,Bologna
ita.1,Fiorentina
ita.1,Internazionale
ita.1,Juventus
ita.1,Lazio
ita.1,Napoli
ita.1,Parma
ita.1,Udinese
ita.1,Hellas Verona
ita.1,Chievo Verona
ita.1,Torino
ita.1,Sampdoria
ita.1,Cagliari
ita.1,Livorno
ita.1,Catania
ita.1,Genoa
ita.1,Sassuolo
nor.1,Rosenborg
nor.1,Viking FK
nor.1,Odd Grenland
nor.1,SK Brann
nor.1,Lillestrom
nor.1,Molde
nor.1,Valerenga
nor.1,Sogndal
nor.1,Aalesund
nor.1,Haugesund
nor.1,Sarpsborg FK
nor.1,Tromso
nor.1,IK Start
nor.1,Honefoss
nor.1,Sandnes Ulf
nor.1,Stromsgodset
por.1,FC Porto
por.1,Maritimo
por.1,Benfica
por.1,Sporting Lisbon
por.1,Braga
por.1,CD Nacional de Madeira
por.1,Belenenses
por.1,Academica de Coimbra
por.1,Gil Vicente
por.1,Olhanense
por.1,Pa?os de Ferreira
por.1,Rio Ave
por.1,Vitoria Setubal
